ROUTE,NAME
12,ROOSEVELT
121,UNION/STREETERVILLE EXPRESS
1,BRONZEVILLE/UNION STATION
108,HALSTED/95TH
49B,NORTH WESTERN
11,LINCOLN
19,UNITED CENTER EXPRESS
100,JEFFERY MANOR EXPRESS
103,WEST 103RD
106,EAST 103RD
192,U OF CHICAGO HOSPITALS EXPRESS
2,HYDE PARK EXPRESS
111,111TH/KING DRIVE
111A,PULLMAN SHUTTLE
112,VINCENNES/111TH
125,WATER TOWER EXPRESS
146,INNER LAKE SHORE/MICHIGAN EXPRESS
147,OUTER DUSABLE LAKE SHORE EXPRESS
115,PULLMAN/115TH
119,MICHIGAN/119TH
136,SHERIDAN/LASALLE EXPRESS
36,BROADWAY
37,SEDGWICK
155,DEVON
39,PERSHING
24,WENTWORTH
148,CLARENDON/MICHIGAN EXPRESS
15,JEFFERY LOCAL
130,MUSEUM CAMPUS
165,WEST 65TH
169,69TH/UPS EXPRESS
134,STOCKTON/LASALLE EXPRESS
135,CLARENDON/LASALLE EXPRESS
143,STOCKTON/MICHIGAN EXPRESS
96,LUNT
201,CENTRAL/RIDGE
206,EVANSTON CIRCULATOR
22,CLARK
53A,SOUTH PULASKI
35,35TH
73,ARMITAGE
171,U OF C - HYDE PARK
60,BLUE ISLAND/26TH
151,SHERIDAN
152,ADDISON
156,LASALLE
172,U OF C - KENWOOD
157,STREETERVILLE/TAYLOR
18,16TH/18TH
29,STATE
30,SOUTH CHICAGO
31,31ST
34,SOUTH MICHIGAN
52,KEDZIE
52A,SOUTH KEDZIE
63W,WEST 63RD
53,PULASKI
70,DIVISION
55A,55TH/AUSTIN
71,71ST/SOUTH SHORE
72,NORTH
79,79TH
8,HALSTED
62,ARCHER
62H,ARCHER/HARLEM
55N,55TH/NARRAGANSETT
63,63RD
54,CICERO
54A,NORTH CICERO/SKOKIE BLVD
54B,SOUTH CICERO
55,GARFIELD
56,MILWAUKEE
57,LARAMIE
43,43RD
59,59TH/61ST
6,JACKSON PARK EXPRESS
44,WALLACE/RACINE
48,SOUTH DAMEN
49,WESTERN
47,47TH
5,SOUTH SHORE NIGHT BUS
50,DAMEN
51,51ST
81,LAWRENCE
95,95TH
97,SKOKIE
X49,WESTERN EXPRESS
X9,ASHLAND EXPRESS
80,IRVING PARK
81W,WEST LAWRENCE
68,NORTHWEST HIGHWAY
65,GRAND
66,CHICAGO
67,67TH/69TH/71ST
7,HARRISON
74,FULLERTON
75,74TH/75TH
88,HIGGINS
87,87TH STREET
8A,SOUTH HALSTED
9,ASHLAND
90,HARLEM
84,PETERSON
76,DIVERSEY
77,BELMONT
78,MONTROSE
94,CALIFORNIA
10,MUSEUM OF SCIENCE & INDUSTRY
X4,COTTAGE GROVE EXPRESS
82,KIMBALL/HOMAN
85,CENTRAL
85A,NORTH CENTRAL
86,NARRAGANSETT/RIDGELAND
128,SOLDIER FIELD EXPRESS
91,AUSTIN
124,NAVY PIER
92,FOSTER
93,CALIFORNIA/DODGE
3,KING DRIVE
21,CERMAK
4,COTTAGE GROVE
120,OGILVIE/STREETERVILLE EXPRESS
126,JACKSON
20,MADISON